food_name,calories,carbohydrates,protein,fat
pad thai (chicken 1.5 cups),550.0,60.0,25.0,22.0
spring roll (veg 2 rolls),180.0,25.0,4.0,7.0
coconut water (1 cup),46.0,8.9,1.7,0.5
kimchi (1/2 cup),22.0,4.0,1.7,0.4
sashimi (salmon 3 pcs),120.0,0.0,18.0,5.0
wasabi (1 tsp),10.0,2.2,0.1,0.1
seaweed salad (1/2 cup),60.0,8.0,2.0,3.0
french onion soup (1 cup),150.0,15.0,6.0,7.0
croutons (1/4 cup),50.0,7.0,1.5,2.0
shepherd's pie (1 serving),400.0,35.0,20.0,20.0
green peas (1/2 cup),62.0,11.1,4.1,0.2
apple pie (1 slice),410.0,58.0,3.0,19.0
gin & tonic (1 drink),170.0,13.0,0.0,0.0
red wine (5 oz glass),125.0,3.8,0.1,0.0
halibut (4oz baked),125.0,0.0,24.0,2.5
quinoa salad (1 cup),260.0,32.0,9.0,12.0
lemonade (1 cup),99.0,26.0,0.1,0.0
pistachios (1 oz shelled),159.0,7.7,5.7,12.8
oat milk (1 cup),120.0,16.0,3.0,5.0
biscuits and gravy (1 serving),480.0,45.0,10.0,28.0
avocado (1/2 fruit),160.0,8.5,2.0,14.7
corn flakes (1 cup),100.0,24.0,2.0,0.0
t-bone steak (6oz),460.0,0.0,38.0,33.0
creamed spinach (1/2 cup),190.0,8.0,5.0,16.0
pecans (1 oz),196.0,3.9,2.6,20.4
fruit cocktail (canned 1 cup),110.0,28.0,1.0,0.0
ramen (instant 1 pack),380.0,53.0,9.0,14.0
mocha latte (16oz),360.0,48.0,12.0,15.0
cucumber slices (1 cup),16.0,3.6,0.7,0.1
feta cheese (1 oz),75.0,1.2,4.0,6.1
olives (kalamata 5 large),35.0,1.0,0.2,3.5
chicken alfredo (1.5 cups),680.0,45.0,35.0,38.0
breadstick (1 large),160.0,28.0,4.0,3.0
cobb salad,510.0,12.0,30.0,38.0
blue cheese dressing (2 tbsp),150.0,2.0,1.0,16.0
mandarin orange (1 medium),37.0,9.3,0.6,0.2
cashews (1 oz roasted),163.0,9.2,4.3,13.1
eggo waffle (2 waffles),180.0,30.0,4.0,5.0
diet soda (1 can),0.0,0.0,0.0,0.0
pulled pork sandwich,480.0,48.0,25.0,20.0
macadamia nuts (1 oz),204.0,3.9,2.2,21.5
crab cakes (2 medium),340.0,18.0,20.0,20.0
tartar sauce (2 tbsp),60.0,2.0,0.2,5.5
lemon bar (1 square),150.0,22.0,1.5,6.0
almond milk (unsweetened 1 cup),30.0,1.0,1.0,2.5
rice krispies (1.5 cups),160.0,37.0,3.0,0.5
sugar (1 tsp for cereal),16.0,4.0,0.0,0.0
tuna (canned 3oz in water),90.0,0.0,20.0,1.0
mayonnaise (1 tbsp),90.0,0.1,0.1,10.0
pickle (1 spear dill),5.0,1.0,0.2,0.1
lobster bisque (1 cup),250.0,12.0,8.0,18.0
reuben sandwich,650.0,35.0,28.0,40.0
sauerkraut (1/4 cup side),7.0,1.5,0.3,0.0
mushroom (white 1 cup sliced),15.0,2.3,2.2,0.2
soy milk (original 1 cup),110.0,9.0,8.0,4.5
chicken tikka masala (1.5 cups),480.0,20.0,30.0,30.0
naan bread (1 piece),260.0,45.0,8.0,5.0
cucumber salad (1/2 cup),40.0,5.0,1.0,2.0
vodka soda (1 drink),100.0,0.0,0.0,0.0
chocolate croissant,350.0,40.0,6.0,19.0
sweet & sour chicken (1 cup),380.0,45.0,18.0,15.0
egg drop soup (1 cup),65.0,6.0,5.0,2.0
string cheese (1 stick),80.0,1.0,6.0,6.0
turkey burger (1 patty),160.0,2.0,22.0,8.0
potato salad (1/2 cup),180.0,19.0,2.0,11.0
cranberry juice (1 cup),130.0,33.0,0.0,0.0
chicken piccata (1 serving),350.0,10.0,30.0,20.0
angel hair pasta (1 cup),200.0,42.0,7.0,1.0
olive oil (1 tbsp),120.0,0.0,0.0,14.0
garlic (1 clove),4.0,0.9,0.2,0.0
salami (3 slices),110.0,1.0,6.0,9.0
provolone cheese (1 slice),100.0,1.0,7.0,8.0
ginger ale (1 can),124.0,32.0,0.0,0.0
shrimp scampi (1 cup),380.0,40.0,22.0,15.0
tiramisu (1 slice),450.0,42.0,7.0,28.0
cereal bar (fruit),140.0,30.0,2.0,3.0
veal parmesan (1 serving),550.0,30.0,40.0,30.0
spaghetti (side),100.0,21.0,3.5,0.5
hot chocolate (1 cup),200.0,30.0,3.0,8.0
coconut shrimp (5 pcs),320.0,25.0,10.0,20.0
sweet chili sauce (2 tbsp),70.0,17.0,0.0,0.0
white wine (5 oz glass),121.0,3.8,0.1,0.0
trail mix (1/4 cup),190.0,20.0,5.0,12.0
onion rings (6 rings),280.0,30.0,4.0,16.0
poached egg (1 large),72.0,0.4,6.3,4.8
canadian bacon (2 slices),80.0,1.0,12.0,3.0
eggs benedict (1 serving),600.0,30.0,25.0,40.0
hollandaise sauce (2 tbsp),110.0,0.5,1.0,12.0
spinach artichoke dip (1/4 cup),160.0,6.0,5.0,14.0
tortilla chips (1 oz),140.0,19.0,2.0,7.0
chicken kebab (2 skewers),280.0,8.0,30.0,14.0
bell peppers & onions (sautéed),60.0,10.0,1.5,2.0
hummus wrap (large),450.0,60.0,15.0,18.0
kombucha (1 cup),30.0,7.0,0.0,0.0
beef stroganoff (1.5 cups),550.0,40.0,30.0,28.0
egg noodles (1 cup cooked),220.0,40.0,8.0,3.0
cottage cheese (1 cup low fat),160.0,6.0,28.0,2.5
tomato (1 medium sliced),22.0,4.8,1.1,0.2
black pepper (1 tsp),6.0,1.5,0.2,0.1
chocolate pudding (1/2 cup),150.0,28.0,2.0,4.0
mackerel (3oz cooked),175.0,0.0,16.0,12.0
collard greens (1 cup cooked),60.0,10.0,5.0,1.0
ham (3oz deli sliced),110.0,2.0,16.0,4.0
swiss cheese (1 slice),106.0,1.0,7.6,8.0
rye bread (1 slice),83.0,15.5,2.7,1.1
potato leek soup (1 cup),180.0,25.0,4.0,7.0
brie cheese (1 oz),95.0,0.1,6.0,7.9
water cracker (5 crackers),70.0,12.0,1.5,1.5
grapefruit (1/2 medium),52.0,13.2,1.1,0.2
veggie straws (1 oz),130.0,17.0,1.0,7.0
fish tacos (2 tacos),420.0,40.0,25.0,18.0
cabbage slaw (side),60.0,8.0,1.0,3.0
lime (juice of 1),11.0,3.7,0.2,0.0
beer (12 oz light),103.0,5.8,0.9,0.0
danish (cheese 1 medium),340.0,38.0,7.0,18.0
kefir (plain 1 cup),104.0,10.0,10.0,2.5
gnocchi (1 cup),210.0,45.0,4.5,1.5
pesto sauce (1/4 cup),260.0,4.0,5.0,26.0
pine nuts (1 tbsp),95.0,2.0,2.0,10.0
chai latte (12 oz),190.0,32.0,7.0,4.0
manicotti (2 shells cheese),380.0,35.0,20.0,18.0
italian sausage (1 link),200.0,3.0,12.0,16.0
jicama (1 cup sticks),46.0,10.6,0.9,0.1
chili powder (1 tsp),8.0,1.4,0.3,0.4
ants on a log (4 pcs),180.0,12.0,6.0,12.0
split pea soup (1 cup),180.0,30.0,11.0,2.0
ham & cheese croissant,400.0,35.0,15.0,22.0
espresso (double shot),5.0,0.0,0.5,0.1
ricotta cheese (1/4 cup),85.0,2.5,5.5,6.0
chicken & rice soup (1 can),130.0,18.0,7.0,3.0
salt (1/4 tsp),0.0,0.0,0.0,0.0
guava,68.0,14.3,2.6,0.9
club sandwich,580.0,40.0,35.0,30.0
pickle (1 whole dill),17.0,3.7,0.8,0.2
turkey chili (1 cup),250.0,25.0,22.0,7.0
sour cream (2 tbsp),60.0,1.3,0.8,5.8
shredded cheese (cheddar 1/4 cup),115.0,1.0,7.0,9.5
matcha latte (12 oz),180.0,28.0,6.0,5.0
chocolate donut (1 medium),300.0,35.0,4.0,17.0
tuna melt,450.0,32.0,25.0,25.0
apple cider (1 cup),117.0,29.0,0.1,0.3
beef burrito (large),650.0,70.0,30.0,28.0
pico de gallo (1/4 cup),15.0,3.0,0.5,0.0
corn tortilla (1 medium),52.0,11.2,1.4,0.7
mussels (3oz steamed),146.0,6.0,20.0,4.0
white wine sauce (1/4 cup),80.0,4.0,1.0,6.0
french bread (2 slices),180.0,36.0,6.0,1.0
blackberries (1 cup),62.0,13.8,2.0,0.7
cheese danish,340.0,38.0,7.0,18.0
chicken salad sandwich,420.0,35.0,20.0,20.0
soyrizo (2 oz),140.0,6.0,10.0,9.0
hash browns (1 cup),330.0,38.0,3.0,19.0
ketchup (1 packet),10.0,2.5,0.1,0.0
philly cheesesteak (6 inch),500.0,40.0,25.0,28.0
cheese whiz (2 tbsp),90.0,3.0,4.0,7.0
onions (sautéed 1/4 cup),30.0,5.0,0.5,1.0
raspberries (1 cup),64.0,14.7,1.5,0.8
cheesy grits (1 cup),210.0,34.0,6.0,6.0
collard greens (with ham hock),180.0,15.0,10.0,9.0
fried okra (1 cup),220.0,25.0,4.0,12.0
sweet tea (16 oz),180.0,46.0,0.0,0.0
gyro (1 sandwich),600.0,55.0,25.0,30.0
pita bread (white 1 large),220.0,45.0,7.0,2.0
baklava (1 piece),280.0,30.0,3.0,18.0
coconut (shredded 1/4 cup),110.0,4.5,1.0,10.5
s'more (1 serving),140.0,25.0,2.0,4.0
graham cracker (1 large rectangle),60.0,11.0,1.0,1.5
marshmallow (1 large),23.0,5.8,0.1,0.0
chocolate (hershey's bar 1 segment),25.0,3.0,0.3,1.5
chicken parm sandwich,650.0,55.0,40.0,30.0
mozzarella (1 slice),80.0,1.0,6.0,6.0
bread roll (hoagie),200.0,38.0,6.0,2.0
artichoke (1 medium steamed),60.0,13.4,4.2,0.2
mayonnaise (1 tbsp for dipping),90.0,0.1,0.1,10.0
calamari (fried 3oz),150.0,8.0,13.0,7.0
lemon wedge (for calamari),3.0,1.0,0.1,0.0
root beer (1 can),150.0,40.0,0.0,0.0
chicken mcnuggets (6 pcs),270.0,16.0,15.0,16.0
bbq sauce (2 tbsp),60.0,15.0,0.5,0.0
honey (1 tbsp),64.0,17.3,0.1,0.0
tofu scramble,250.0,8.0,20.0,16.0
turmeric (1 tsp),9.0,1.9,0.3,0.1
nutritional yeast (1 tbsp),20.0,2.0,3.0,0.0
seitan (3oz),90.0,4.0,18.0,1.0
vegetable broth (1 cup),15.0,3.0,1.0,0.0
mashed cauliflower (1 cup),140.0,12.0,5.0,8.0
peanut sauce (2 tbsp),80.0,4.0,2.0,6.0
tempeh (3oz),160.0,8.0,16.0,9.0
sauerkraut (1/2 cup),14.0,3.1,0.7,0.1
rye crispbread (2 slices),70.0,14.0,2.0,0.5
capers (1 tbsp),2.0,0.4,0.2,0.1
chicken liver (2 oz cooked),91.0,0.6,13.6,3.6
onion (1/2 cup raw chopped),32.0,7.5,0.9,0.1
bok choy (1 cup steamed),10.0,2.0,1.5,0.1
gummy bears (10 pcs),100.0,22.0,2.0,0.0
whiskey (1.5 oz shot),105.0,0.1,0.0,0.0
dates (2 medium medjool),133.0,36.0,0.8,0.1
tahini (1 tbsp),89.0,3.2,2.6,8.0
chickpeas (1/2 cup canned),135.0,22.0,7.0,2.0
lettuce (romaine 2 cups),16.0,3.0,1.0,0.3
italian dressing (2 tbsp),70.0,3.0,0.0,7.0
turkey sausage (1 patty),70.0,1.0,9.0,4.0
maple syrup (1 tbsp),52.0,13.5,0.0,0.0
quesadilla (cheese 1 medium),400.0,35.0,18.0,22.0
sour cream (1 tbsp),30.0,0.6,0.4,2.9
salsa (2 tbsp),10.0,2.0,0.5,0.0
red cabbage (1 cup raw),22.0,5.2,1.1,0.1
duck (3oz roasted),285.0,0.0,16.0,24.0
orange sauce (1/4 cup for duck),90.0,22.0,0.5,0.0
wild rice (1 cup cooked),166.0,35.0,6.5,0.6
cupcake (vanilla 1 medium),240.0,35.0,2.0,11.0
frosting (vanilla 2 tbsp),140.0,22.0,0.0,6.0
hot sauce (1 tsp tabasco),0.0,0.0,0.0,0.0
bison burger (1 patty),150.0,0.0,22.0,7.0
pretzel bun (1 medium),230.0,45.0,8.0,2.0
spicy mustard (1 tbsp),10.0,1.0,0.5,0.5
pasta salad (1 cup),280.0,30.0,8.0,14.0
pepperoncini (2 peppers),10.0,2.0,0.5,0.0
coconut milk (1/4 cup canned),111.0,2.9,1.1,11.6
green curry paste (1 tbsp),30.0,2.0,0.5,2.5
chicken thigh (1 roasted),210.0,0.0,24.0,13.0
jasmine rice (1 cup cooked),205.0,45.0,4.3,0.4
thai iced tea (1 glass),250.0,35.0,3.0,12.0
papaya (1 cup cubes),62.0,15.7,0.6,0.4
lime juice (1 tbsp),4.0,1.3,0.1,0.0
macaroni salad (1 cup),380.0,30.0,8.0,25.0
celery (1 stalk),6.0,1.2,0.3,0.1
blue cheese (1 oz),100.0,0.7,6.0,8.0
dark chocolate (1 oz 70%),170.0,13.0,2.2,12.0
acai bowl (1 serving),350.0,60.0,5.0,12.0
granola (1/4 cup topping),120.0,15.0,3.0,6.0
coconut flakes (1 tbsp topping),35.0,1.5,0.3,3.3
honey (1 tsp drizzle),21.0,5.8,0.0,0.0
shrimp cocktail (4 large shrimp),60.0,1.0,10.0,1.0
cocktail sauce (2 tbsp),30.0,7.0,0.5,0.0
pork bun (1 steamed),220.0,30.0,8.0,8.0
dim sum (siu mai 3 pcs),180.0,10.0,12.0,10.0
soy sauce (1 tbsp for dipping),9.0,1.0,1.0,0.0
oyster (1 medium raw),8.0,0.5,1.0,0.2
mignonette sauce (1 tbsp),5.0,1.0,0.0,0.0
beef pho (1 large bowl),450.0,55.0,30.0,12.0
bean sprouts (1/4 cup garnish),8.0,1.5,0.8,0.1
thai basil (garnish),1.0,0.0,0.1,0.0
lime wedge (garnish),3.0,1.0,0.1,0.0
jalapeno (1 tbsp sliced),4.0,0.8,0.1,0.1
hoisin sauce (1 tbsp),35.0,8.0,0.3,0.2
sriracha (1 tsp),5.0,1.0,0.1,0.1
crepe (1 plain),90.0,14.0,3.5,2.0
nutella (1 tbsp),100.0,11.0,1.5,6.0
powdered sugar (1 tsp),10.0,2.5,0.0,0.0
sake (3 oz),117.0,3.8,0.4,0.0
edamame (in pod 1 cup),120.0,9.0,11.0,5.0
sea salt (coarse 1/4 tsp),0.0,0.0,0.0,0.0
biryani (chicken 1.5 cups),520.0,60.0,28.0,18.0
raita (2 tbsp),30.0,2.0,1.0,2.0
lassi (mango 1 cup),180.0,30.0,5.0,4.0
samosa (1 piece vegetable),130.0,18.0,2.0,6.0
tamarind chutney (1 tbsp),20.0,5.0,0.1,0.0
mint chutney (1 tbsp),5.0,0.5,0.2,0.0
pani puri (6 pcs),200.0,35.0,4.0,5.0
passion fruit (1 fruit),17.0,4.2,0.4,0.1
kimchi jjigae (1 bowl),350.0,20.0,15.0,22.0
silken tofu (3oz in soup),45.0,2.0,5.0,2.5
pork belly (1 oz in soup),145.0,0.0,3.0,15.0
gochugaru (1 tsp),10.0,1.8,0.3,0.3
gochujang (1 tbsp),30.0,6.0,0.5,0.0
sesame oil (1 tsp),40.0,0.0,0.0,4.5
fish sauce (1 tsp),5.0,0.5,0.4,0.0
green onion (1 tbsp garnish),3.0,0.7,0.2,0.0
kombucha (16 oz),60.0,14.0,0.0,0.0
beef wellington (1 slice),600.0,35.0,30.0,38.0
pate (mushroom 2 tbsp),70.0,2.0,1.0,7.0
puff pastry (1 oz wrapper),115.0,9.0,1.5,8.0
prosciutto (1 slice),35.0,0.0,4.0,2.5
asparagus (6 spears roasted),40.0,4.0,4.0,2.0
hollandaise sauce (1 tbsp),55.0,0.2,0.5,6.0
flan (1 slice),220.0,35.0,6.0,7.0
caramel sauce (1 tbsp),60.0,13.0,0.0,1.0
congee (1 cup plain),130.0,28.0,2.5,1.0
pickled radish (1/4 cup),15.0,3.0,0.5,0.0
pork floss (1 tbsp),50.0,3.0,4.0,2.0
century egg (1 egg),100.0,1.0,7.0,7.0
arugula (2 cups),10.0,0.8,1.0,0.2
goat cheese (1 oz),103.0,0.1,6.1,8.5
beets (1/2 cup roasted),30.0,6.8,0.8,0.1
walnuts (1 tbsp chopped),46.0,1.0,1.1,4.6
balsamic glaze (1 tbsp),40.0,9.0,0.0,0.0
bobotie (1 serving),450.0,30.0,25.0,25.0
yellow rice (1 cup),230.0,50.0,4.0,1.0
chutney (mango 1 tbsp),45.0,11.0,0.1,0.1
malva pudding (1 slice),380.0,60.0,5.0,14.0
custard (1/4 cup),80.0,10.0,3.0,3.0
bubble tea (16 oz milk tea),320.0,70.0,2.0,4.0
tapioca pearls (1/4 cup boba),100.0,25.0,0.0,0.0
paella (1.5 cups seafood),550.0,70.0,30.0,18.0
chorizo (1 oz in paella),130.0,1.0,6.0,11.0
saffron (pinch),1.0,0.1,0.0,0.0
aioli (garlic 1 tbsp),95.0,0.5,0.1,10.5
gazpacho (1 cup),90.0,12.0,2.0,4.0
croutons (garlic 1/4 cup),50.0,7.0,1.5,2.0
olive oil (1 tsp garnish),40.0,0.0,0.0,4.5
churros (2 sticks),240.0,30.0,3.0,12.0
chocolate sauce (1 tbsp dipping),50.0,10.0,0.5,1.5
cinnamon sugar (1 tsp),20.0,5.0,0.0,0.0
horchata (1 cup),140.0,25.0,2.0,3.0
ceviche (1 cup fish),180.0,15.0,25.0,2.0
red onion (1/4 cup in ceviche),16.0,3.7,0.3,0.0
cilantro (2 tbsp garnish),1.0,0.0,0.1,0.0
corn nuts (1 oz),130.0,23.0,2.0,4.0
lomo saltado (1.5 cups),500.0,45.0,35.0,22.0
french fries (as side),200.0,25.0,2.0,10.0
soy sauce (1 tbsp in stir-fry),9.0,1.0,1.0,0.0
aji amarillo paste (1 tsp),5.0,1.0,0.1,0.0
pisco sour (1 drink),250.0,25.0,1.0,0.0
egg white (in drink),17.0,0.2,3.6,0.0
angostura bitters (dash),5.0,0.0,0.0,0.0
alfajores (1 cookie),180.0,22.0,2.0,10.0
dulce de leche (1 tbsp filling),65.0,12.0,1.0,1.5
coconut (shredded garnish),10.0,0.5,0.1,1.0
mate (1 cup),5.0,1.0,0.2,0.0
media luna (1 pastry),190.0,25.0,4.0,8.0
chimichurri (1 tbsp),45.0,0.5,0.1,4.5
skirt steak (4oz grilled),240.0,0.0,26.0,15.0
provoleta (1 oz grilled cheese),100.0,1.0,7.0,8.0
oregano (1 tsp),3.0,0.7,0.1,0.0
empanada (beef 1 medium),290.0,28.0,10.0,16.0
chicken milanesa (1 serving),450.0,30.0,35.0,22.0
mashed potatoes (side),150.0,25.0,3.0,4.0
choripan (1 sandwich),550.0,40.0,20.0,35.0
baguette (slice),70.0,14.0,2.5,0.5
pizza (margherita 1 slice),250.0,30.0,12.0,10.0
fresh mozzarella (1 oz),72.0,0.8,5.0,5.0
basil (2 tbsp fresh),1.0,0.1,0.1,0.0
carbonara (1.5 cups),650.0,60.0,25.0,35.0
guanciale (1 oz),170.0,0.0,3.0,18.0
pecorino cheese (1 tbsp),25.0,0.1,1.5,2.0
black pepper (1/4 tsp),1.0,0.2,0.0,0.0
egg yolk (1 large in sauce),55.0,0.6,2.7,4.5
supplì (1 piece fried rice ball),200.0,25.0,8.0,8.0
aperol spritz (1 drink),180.0,20.0,0.0,0.0
prosecco (3 oz),70.0,2.0,0.0,0.0
club soda (2 oz),0.0,0.0,0.0,0.0
orange slice (garnish),5.0,1.0,0.1,0.0
tagliatelle al ragù (bolognese),550.0,65.0,28.0,20.0
ground beef (2 oz in sauce),140.0,0.0,11.0,10.0
pancetta (0.5 oz in sauce),45.0,0.0,1.5,4.5
carrot (1/4 minced in sauce),10.0,2.4,0.2,0.1
celery (1/4 stalk minced),2.0,0.4,0.1,0.0
onion (1/8 minced in sauce),5.0,1.2,0.1,0.0
crushed tomatoes (1/2 cup sauce),20.0,4.0,1.0,0.0
parmigiano-reggiano (1 tbsp),22.0,0.2,2.0,1.5
cannoli (1 medium),240.0,25.0,5.0,13.0
ricotta (filling 1 oz),49.0,0.8,3.2,3.8
pistachio (garnish),10.0,0.5,0.4,0.8
biscotti (1 cookie),110.0,18.0,2.0,4.0
espresso (for dipping),2.0,0.0,0.2,0.0
focaccia (1 square),250.0,40.0,8.0,7.0
rosemary (1 tsp topping),1.0,0.2,0.0,0.0
coarse salt (garnish),0.0,0.0,0.0,0.0
olive oil (1 tbsp drizzle),120.0,0.0,0.0,14.0
bruschetta (2 pcs),180.0,25.0,4.0,7.0
balsamic glaze (1 tsp),13.0,3.0,0.0,0.0
ribollita (1.5 cups soup),350.0,55.0,15.0,8.0
cannellini beans (1/2 cup in soup),105.0,20.0,7.0,0.5
kale (1 cup in soup),33.0,6.0,2.9,0.6
stale bread (1/2 cup in soup),80.0,15.0,3.0,1.0
polenta (1 cup creamy),150.0,32.0,3.0,1.0
gorgonzola cheese (1 oz),100.0,0.7,6.0,8.0
negroni (1 drink),190.0,15.0,0.0,0.0
gin (1 oz),70.0,0.0,0.0,0.0
campari (1 oz),80.0,10.0,0.0,0.0
sweet vermouth (1 oz),40.0,5.0,0.0,0.0
orange peel (garnish),1.0,0.2,0.0,0.0
osso buco (1 serving),550.0,15.0,45.0,30.0
gremolata (1 tbsp),15.0,1.0,0.5,1.0
risotto alla milanese (1 cup),350.0,50.0,10.0,12.0
saffron (pinch in risotto),1.0,0.1,0.0,0.0
panettone (1 slice),320.0,50.0,6.0,12.0
candied fruit (1 tbsp),30.0,8.0,0.0,0.0
amaretti cookie (2 cookies),90.0,12.0,2.0,4.0
limoncello (1.5 oz shot),150.0,18.0,0.0,0.0
panna cotta (1 serving),300.0,25.0,4.0,20.0
