Age,Gender,Daily Calories Consumed,Daily Caloric Surplus/Deficit,Physical Activity Level,Sleep Quality,Current Weight (kg),Final Weight (kg)
21,M,4000.0,1090.8,Lightly Active,Fair,86.862868,87.40717839999999
42,M,3352.3,1049.0,Lightly Active,Excellent,64.183268,65.8161992
31,F,3195.6,959.9,Lightly Active,Good,69.8078088,70.8964296
26,M,3803.8,806.0,Sedentary,Poor,92.0338168,89.7658568
43,M,4000.0,1287.8,Very Active,Good,82.91661760000001,84.1866752
19,F,2148.7,392.2,Sedentary,Poor,45.3592,44.5427344
37,M,3406.3,647.9,Sedentary,Fair,83.687724,81.419764
45,F,4000.0,1395.6,Moderately Active,Good,89.7204976,91.89773919999999
24,F,3225.2,1045.0,Lightly Active,Poor,65.7254808,63.185365600000004
25,F,4000.0,1370.3,Very Active,Fair,86.3185576,88.4957992
52,M,4000.0,899.6,Moderately Active,Good,102.6025104,101.8767632
31,M,3433.5,670.8,Sedentary,Good,82.5083848,83.32485039999999
34,M,3179.8,738.8,Lightly Active,Poor,68.5831104,60.191658399999994
53,M,3544.5,1167.5,Moderately Active,Poor,69.9892456,69.5356536
57,M,3378.1,860.4,Lightly Active,Poor,77.2920768,71.6221768
21,M,4000.0,1192.9,Moderately Active,Fair,82.2362296,81.7372784
19,M,3434.8,712.2,Lightly Active,Poor,77.9724648,74.6612432
23,F,3327.8,740.8,Sedentary,Good,83.91452,84.821704
59,M,4000.0,1540.3,Very Active,Good,75.1148352,77.2920768
21,F,3314.8,814.2,Sedentary,Poor,79.5600368,78.3353384
46,M,4000.0,1141.8,Very Active,Poor,90.2194488,87.7246928
35,M,3424.8,1120.5,Lightly Active,Excellent,62.6410552,63.3214432
43,M,4000.0,1383.6,Moderately Active,Good,78.6074936,80.6032984
51,F,2450.6,122.4,Sedentary,Fair,78.56213439999999,78.56213439999999
27,F,4000.0,1307.3,Very Active,Excellent,89.6297792,90.5369632
53,F,2927.5,709.0,Sedentary,Poor,74.0262144,73.3004672
31,F,4000.0,1407.6,Very Active,Poor,86.0010432,83.82380160000001
48,M,3451.7,562.2,Sedentary,Good,92.1245352,92.3966904
32,F,2724.7,888.2,Very Active,Poor,51.936284,49.3508096
25,M,4000.0,975.7,Very Active,Fair,93.0317192,89.44834239999999
31,M,3602.8,1254.6,Lightly Active,Good,63.684316800000005,64.04719039999999
40,F,3827.8,1804.5,Very Active,Poor,62.232822399999996,57.5608248
57,F,2030.9,464.4,Lightly Active,Good,45.3592,44.5880936
38,F,3734.5,1614.0,Very Active,Poor,66.1790728,65.544044
33,F,3795.2,1410.2,Moderately Active,Poor,77.0652808,71.1685848
35,F,3199.8,938.3,Moderately Active,Poor,71.894332,69.9438864
41,F,3458.1,1250.4,Moderately Active,Fair,70.80571119999999,68.40167360000001
43,F,3669.0,1666.2,Very Active,Fair,61.960667199999996,62.6410552
42,F,3730.2,1128.5,Lightly Active,Good,88.904032,89.8565752
58,M,3622.6,826.4,Lightly Active,Poor,90.1740896,88.1782848
46,F,4000.0,1553.1,Very Active,Poor,82.78054,71.8036136
32,F,2987.7,1162.2,Moderately Active,Fair,51.4373328,53.070264
18,M,4000.0,609.2,Moderately Active,Poor,108.04561439999999,105.46014
42,F,2829.4,443.8,Lightly Active,Fair,79.1064448,79.46931839999999
24,M,3911.7,1071.0,Moderately Active,Poor,84.4588304,77.8817464
26,M,2647.8,428.5,Sedentary,Good,56.7443592,57.2886696
41,F,3103.8,760.7,Lightly Active,Poor,76.9745624,71.3046624
18,M,4000.0,1167.2,Moderately Active,Poor,82.7351808,74.93339839999999
25,M,3536.0,904.5,Lightly Active,Excellent,75.2055536,75.88594160000001
41,M,3623.3,767.9,Sedentary,Fair,88.9947504,83.8691608
28,M,4000.0,951.1,Lightly Active,Poor,94.80072799999999,92.759564
34,F,2773.9,795.4,Lightly Active,Poor,58.83088239999999,55.8371752
25,M,3758.6,829.8,Lightly Active,Excellent,88.677236,89.04010960000001
52,F,2640.7,230.9,Lightly Active,Excellent,82.46302560000001,82.91661760000001
52,M,3269.5,732.2,Sedentary,Fair,77.0652808,77.791028
50,M,4000.0,1922.5,Very Active,Excellent,55.746456800000004,58.0144168
22,M,4000.0,867.3,Lightly Active,Good,97.2501248,98.33874560000001
59,M,3656.2,1033.4,Lightly Active,Excellent,82.5083848,82.78054
56,F,2756.5,1020.0,Moderately Active,Good,52.843468,48.8064992
58,F,3344.3,1155.8,Lightly Active,Fair,73.7994184,75.43234960000001
45,M,4000.0,1328.1,Moderately Active,Fair,81.55584160000001,82.46302560000001
24,M,4000.0,1169.3,Very Active,Fair,84.0052384,85.2299368
